parameter,mean,sd,median,q025,q975
theta1,1.8087199130197749,0.21584308705058983,1.81851403140319,1.3582667411819576,2.20152948277378
theta2,-2.456285232347897,0.06503742047020246,-2.45520380207866,-2.584923015183531,-2.3341152389799737
theta3,-2.8376252206407964,0.07073425877169486,-2.8344081688216853,-2.9883746607366812,-2.7101402743013616
theta4,-0.5817147570619401,0.05581979337103543,-0.581247364426936,-0.6990983634802482,-0.4753468013479351
theta5,2.218528075799064,0.11165149196107119,2.227715976005665,1.9613660955602823,2.4114505808807176
theta6,-1.3831479829124609,0.47890635598301234,-1.3827971599263802,-2.32488817554121,-0.4457219269101749
theta7,-1.7936047972667208,0.09816424418419582,-1.79374545487578,-1.9843251918397202,-1.6050581881756025
theta8,-0.060274844483044134,0.10284149765040819,-0.06207444680659025,-0.2652685940199889,0.1405239617433256
theta9,0.18848993885069198,0.2053811759118832,0.2001552015829015,-0.23508077298014307,0.5513292567482012
theta10,1.6516125699953907,0.1806031023375849,1.66507521377019,1.2473291369298192,1.9713142497935932
theta11,2.795100858098767,0.21605930158993203,2.819702674022915,2.3026762571375676,3.150777902467797
theta12,4.6137124678556996,0.2749845331849198,4.63930944393198,3.992630067003049,5.062633824356764
