parameter,coverage_95,coverage_90,mean_rank,sd_rank
theta1,0.9766666666666667,0.94,0.4771366666666667,0.2651170143959497
theta2,0.93,0.8733333333333333,0.5218599999999998,0.28336010140220286
theta3,0.9466666666666667,0.9166666666666666,0.5079500000000001,0.27045201823367243
theta4,0.95,0.9166666666666666,0.46588000000000024,0.26679368858102076
theta5,0.9266666666666666,0.89,0.5311933333333333,0.2843888229558648
theta6,0.9466666666666667,0.9066666666666666,0.5203533333333332,0.28914469588003094
theta7,0.9866666666666667,0.9666666666666667,0.5495633333333333,0.23246968115338298
theta8,0.9766666666666667,0.9566666666666667,0.4627433333333333,0.24014425690035188
theta9,0.9733333333333334,0.94,0.4126066666666667,0.23725444559703318
theta10,0.97,0.9433333333333334,0.5440133333333337,0.2385863920865751
theta11,0.9733333333333334,0.9566666666666667,0.4204333333333332,0.24133666434165268
theta12,0.9533333333333334,0.8966666666666666,0.47247333333333347,0.2873298034585963
