"parameter","rhat","ess_chain1","ess_chain2","ess_chain3","ess_pooled","acceptance_mean","n_iter","burnin","thin","posterior_median","nm_theta","mpsrf"
"theta1",1.00264783362319,572.062341917031,436.846181706135,438.96672341075,1447.87524703392,0.291622222222222,30000,5000,20,1.70428144613997,1.71520603935197,1.00901227464795
"theta2",1.00345861028267,576.329374272327,548.202293517548,508.758223437743,1633.28989122762,0.291622222222222,30000,5000,20,-2.51472626083169,-2.51256607106302,1.00901227464795
"theta3",1.00076501102597,430.53041957554,523.708445958421,477.805644700461,1432.04451023442,0.291622222222222,30000,5000,20,-2.95980116419006,-2.96230073545426,1.00901227464795
"theta4",1.00063482317787,513.770325434098,575.291784550615,528.940415167262,1618.00252515198,0.291622222222222,30000,5000,20,-0.781983462993837,-0.783167069136221,1.00901227464795
"theta5",1.00074578285544,632.340062931023,498.230151356047,464.134956353858,1594.70517064093,0.291622222222222,30000,5000,20,1.90403492551009,1.96287340580307,1.00901227464795
"theta6",1.0010653267623,571.303618348657,747.195232050873,707.663915371537,2026.16276577107,0.291622222222222,30000,5000,20,-1.25444464269993,-0.618024978633973,1.00901227464795
"theta7",1.0014394307402,582.373671457691,650.794391540141,653.530448938878,1886.69851193671,0.291622222222222,30000,5000,20,-1.78211299540222,-1.77874458629273,1.00901227464795
"theta8",1.0002158057082,510.869691921054,605.46745479246,529.388920638677,1645.72606735219,0.291622222222222,30000,5000,20,-0.0883593376056377,-0.0899770006359469,1.00901227464795
"theta9",1.00054444713131,415.191930093558,546.307514573477,492.735092523739,1454.23453719077,0.291622222222222,30000,5000,20,0.221554735808773,0.227871521556001,1.00901227464795
"theta10",1.00089173917493,479.273055447271,472.43451748159,496.04393273233,1447.75150566119,0.291622222222222,30000,5000,20,1.748796485332,1.69030652034786,1.00901227464795
"theta11",1.00286374096016,697.49370823368,450.493053289568,484.392947841819,1632.37970936507,0.291622222222222,30000,5000,20,2.56743958879519,2.64546283984382,1.00901227464795
"theta12",1.00109252680569,642.480918011474,536.9424942783,393.77066851562,1573.19408080539,0.291622222222222,30000,5000,20,4.69099117699777,4.77197089093413,1.00901227464795
