theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,theta11,theta12
1.7512593,-2.510058,-2.950411,-0.7678666,2.2201796,-1.2694671,-1.7871461,-0.07873092,0.23508804,1.645308,3.104204,4.765204
1.7351631,-2.5251744,-2.9341476,-0.7612149,2.1318214,-1.4169382,-1.7847834,-0.09315174,0.23905827,1.6715826,3.0740755,4.75144
1.7142718,-2.519063,-2.9274411,-0.81020653,2.14243,0.30216017,-1.7707696,-0.092854135,0.17183813,1.5750614,3.0581443,4.8080606
1.7246169,-2.5110476,-2.923975,-0.77272934,2.1255705,-0.41030237,-1.7953036,-0.087499306,0.24193867,1.6447024,3.0259674,4.856788
1.7392515,-2.507466,-2.9545093,-0.7633651,2.1534925,-3.6286862,-1.7829748,-0.07732455,0.25151375,1.6038349,3.0760207,4.774071
1.7361408,-2.5059075,-2.9429505,-0.7756391,2.1226437,-1.145304,-1.7781329,-0.08186832,0.23073027,1.6627427,3.0018346,4.737205
1.7384872,-2.511382,-2.9419909,-0.7644713,2.125971,0.72307676,-1.7832762,-0.08443456,0.22291066,1.6820201,3.0463653,4.968083
1.7306792,-2.4981525,-2.937129,-0.77008396,2.2009714,-1.7322904,-1.78655,-0.08960005,0.24933298,1.6043261,3.0518498,4.791201
1.7313159,-2.5159373,-2.922675,-0.7600055,2.1476028,-0.49441427,-1.7877392,-0.08481049,0.23908442,1.5901741,3.0903087,4.7364707
1.7421191,-2.495431,-2.9527054,-0.75721526,2.1923084,-1.4178993,-1.7878815,-0.098712236,0.21498916,1.599826,3.065867,4.7340703
1.7400135,-2.5020072,-2.9321098,-0.7752085,2.236343,-2.7033792,-1.7840239,-0.09072779,0.23777746,1.6590352,3.058313,4.725624
1.7425829,-2.4965944,-2.9292269,-0.75603104,2.1862783,-2.969072,-1.7853485,-0.09466287,0.23023893,1.5693393,3.0293245,4.5977774
1.7601787,-2.508113,-2.9335434,-0.7547545,2.1921487,-1.6409556,-1.7875421,-0.090700485,0.2327975,1.6206294,2.9827917,4.731396
1.7496009,-2.4999244,-2.9492528,-0.7710629,2.0546174,-0.8902172,-1.7904733,-0.07948181,0.22912255,1.6303074,2.987314,4.823682
1.7298594,-2.5125692,-2.9352353,-0.7898656,2.1436486,-1.8224279,-1.7826397,-0.08194069,0.20921674,1.6121913,3.1027048,4.7327914
1.7162607,-2.5429547,-2.9517999,-0.8200369,2.1226733,0.6071827,-1.7771502,-0.09233858,0.19643857,1.5401245,2.9924095,5.1857605
1.7435092,-2.511536,-2.9491436,-0.76138633,2.1338024,-1.273578,-1.7835406,-0.08664977,0.24203871,1.6644682,3.016886,4.8105726
1.7341585,-2.5185935,-2.9335933,-0.7731136,2.1745267,-1.1797193,-1.7764415,-0.08273907,0.20523398,1.5940932,3.0515835,4.7297506
1.7378278,-2.5190668,-2.9350114,-0.7726169,2.1258569,-2.775236,-1.7849833,-0.0802938,0.22028495,1.6204284,3.0574887,4.70309
1.7360036,-2.4920313,-2.935872,-0.77087164,2.0889957,-0.34415102,-1.7949821,-0.087192535,0.22770733,1.6761256,2.99832,4.8006372
1.726474,-2.5079668,-2.9206655,-0.7774558,2.1401734,-1.9987755,-1.7781358,-0.09288133,0.25510132,1.5901,3.0069327,4.7059917
1.7328346,-2.5062091,-2.9554563,-0.78325164,2.0777645,-0.3350043,-1.7836648,-0.07774901,0.2309909,1.6173406,2.990322,4.798334
1.720819,-2.5245552,-2.9407547,-0.76697844,2.1695292,0.91813266,-1.7829883,-0.08885623,0.23424768,1.5705084,3.0449376,5.044494
1.7314738,-2.4926503,-2.9394262,-0.7699875,2.1454735,-2.2796073,-1.782612,-0.088250145,0.25117812,1.632423,3.0447326,4.7109866
1.7300853,-2.5055654,-2.9144423,-0.7827589,2.1278443,-1.7213478,-1.7617152,-0.07713794,0.23263083,1.5638988,2.9491308,4.7435846
1.7249329,-2.5250096,-2.945374,-0.7550413,2.1966136,-3.5816405,-1.7887992,-0.07602122,0.218278,1.623572,3.1034925,4.689082
1.7230904,-2.5107718,-2.9406612,-0.774449,2.1681702,-0.8803653,-1.7881904,-0.07907839,0.22705857,1.6875544,3.1086626,4.77179
1.7441528,-2.5203876,-2.9503243,-0.7665882,2.1662824,-0.48125032,-1.786922,-0.089599274,0.23254608,1.6384015,3.0653572,4.7816534
1.7386125,-2.5135274,-2.9457412,-0.7686139,2.0922117,-1.2887734,-1.773596,-0.07702901,0.25790536,1.6742036,3.0460184,4.7198377
1.7462817,-2.5037062,-2.930297,-0.77061623,2.108103,-2.2094696,-1.7999718,-0.107319936,0.24315421,1.6805956,2.9568448,4.6911616
1.7293537,-2.5016623,-2.940985,-0.78268397,2.1481593,0.8844316,-1.778953,-0.09285323,0.22422057,1.6871736,3.0712826,5.0604506
1.7362363,-2.5160265,-2.9280937,-0.7393026,2.158987,0.26690096,-1.775074,-0.08109502,0.22292256,1.593753,3.0007718,4.824661
1.7224091,-2.5182452,-2.9412656,-0.78176033,2.079564,-1.9504154,-1.7767811,-0.09073607,0.23326461,1.7275294,2.954727,4.718063
1.7467818,-2.5083933,-2.9425151,-0.7671431,2.190095,-2.8027182,-1.7798957,-0.08628334,0.25095373,1.6714996,3.016177,4.7235045
1.7396317,-2.5122318,-2.95376,-0.7720321,2.1052835,0.17516649,-1.7728753,-0.0908466,0.21808003,1.6163839,3.061322,4.825927
