theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,theta11,theta12
1.8389163,-2.4566183,-2.829015,-0.5892234,2.301083,-0.87916625,-1.7908204,-0.069351986,0.215003,1.6275631,2.989129,4.5521045
1.8421903,-2.453491,-2.8283865,-0.579366,2.3025465,-1.9988517,-1.793162,-0.07164394,0.2154982,1.6116688,2.981082,4.5300155
1.8363446,-2.4560742,-2.8232622,-0.57752913,2.2466586,-0.80043423,-1.7908477,-0.06863026,0.2456223,1.6119624,2.960952,4.5605226
1.8448824,-2.457477,-2.8261342,-0.57619464,2.2953901,-1.8648627,-1.7918031,-0.067976646,0.21316902,1.6193432,2.9728932,4.5428224
1.8448013,-2.4540179,-2.8333383,-0.5845528,2.281024,-1.3829584,-1.7902346,-0.072093084,0.21135524,1.6250392,2.9892056,4.5437627
1.8398612,-2.4522924,-2.8303137,-0.57717705,2.2702916,-2.376638,-1.7935687,-0.072310574,0.22705637,1.6225936,2.985654,4.523308
1.8389833,-2.4589665,-2.8313665,-0.57929856,2.3007612,-1.062529,-1.7882301,-0.072687216,0.22473347,1.625622,2.9673507,4.5574737
1.8342797,-2.4553301,-2.827014,-0.5854576,2.3013585,-2.2385213,-1.7949725,-0.06997798,0.2077099,1.6316689,2.9826384,4.519667
1.841178,-2.4558492,-2.8264568,-0.580057,2.3054228,-1.5546073,-1.7965748,-0.072493844,0.21784082,1.6204259,2.9938402,4.5362325
1.8403841,-2.4576814,-2.8283553,-0.5821198,2.296562,-1.4520932,-1.7892709,-0.070983514,0.21886632,1.621763,2.9784098,4.536813
1.8386985,-2.4591517,-2.8302455,-0.5873689,2.2802322,-1.1892196,-1.7996303,-0.06873979,0.20732537,1.6160955,2.951984,4.5667253
1.8458394,-2.4512825,-2.8313286,-0.5811683,2.3124084,-1.2757423,-1.8000367,-0.069983,0.22877797,1.5998749,2.9674814,4.508077
1.8434037,-2.4574883,-2.8268018,-0.58466744,2.3105686,-1.7994066,-1.7909544,-0.07016027,0.23030046,1.6116508,2.9747329,4.5291467
1.8342383,-2.45299,-2.8247824,-0.57199824,2.243365,-0.896694,-1.7943317,-0.07148507,0.22072046,1.6060082,2.9692674,4.5751047
1.8409146,-2.4570818,-2.831423,-0.5735656,2.2849224,-0.33083862,-1.793306,-0.070649534,0.2330357,1.6110086,2.977663,4.597312
1.8403536,-2.456386,-2.8268526,-0.59457314,2.3274417,-2.3342047,-1.7916778,-0.070343345,0.21364126,1.6250376,2.9844751,4.516211
1.8392682,-2.45453,-2.8202069,-0.58016557,2.2791197,-1.3419638,-1.7934538,-0.07225031,0.21952529,1.6234841,2.9792418,4.556174
1.8410393,-2.4569669,-2.8321278,-0.57984984,2.296785,-0.59679663,-1.7930634,-0.07432101,0.22149828,1.621102,2.996363,4.5995336
1.8354418,-2.4627879,-2.83077,-0.6057351,2.24908,-0.4802314,-1.7964625,-0.07291254,0.20756081,1.6145563,2.9596887,4.6177897
1.8416221,-2.4532356,-2.8276474,-0.58356595,2.3354425,-0.7093476,-1.7895135,-0.071490526,0.22491986,1.627336,3.0000336,4.58425
1.8437036,-2.4518645,-2.83265,-0.57162815,2.3167658,-1.1198449,-1.7943473,-0.073914565,0.21877365,1.6128641,2.96886,4.5580134
1.8355478,-2.4593103,-2.804586,-0.48833603,2.2462914,-0.77876854,-1.7991397,-0.07074191,0.20608142,1.584573,2.870233,4.5179124
1.839741,-2.4537232,-2.8259535,-0.5861526,2.270492,-2.20665,-1.7910897,-0.06914128,0.21730511,1.621401,2.983193,4.533458
1.8373996,-2.453423,-2.8277776,-0.5868892,2.2965999,-2.4609094,-1.7939788,-0.068326585,0.2287364,1.6254971,2.9943154,4.517211
1.8406745,-2.4573667,-2.8273473,-0.57994473,2.2990158,-1.8101082,-1.7923571,-0.07107647,0.21824756,1.6239699,2.994082,4.5359797
1.8383776,-2.4570005,-2.8274343,-0.58704853,2.2724833,-1.7463475,-1.7980326,-0.06942286,0.22647232,1.6142114,2.9751608,4.5246434
1.8380538,-2.457593,-2.8275669,-0.5778754,2.2615628,-1.3341433,-1.7971386,-0.07027924,0.22417623,1.6260436,2.9732869,4.5441465
1.8428286,-2.4551585,-2.8298786,-0.58652437,2.3942387,-1.5904948,-1.7951351,-0.070757404,0.22091407,1.6194085,3.0050786,4.538843
1.8392835,-2.4520242,-2.8340461,-0.5810384,2.3263474,-1.7706968,-1.7905604,-0.07173722,0.21554238,1.6271757,3.001821,4.5388885
1.8396698,-2.456266,-2.831488,-0.58623034,2.3171005,-1.0018681,-1.7952371,-0.07134386,0.22233216,1.6156112,2.9927053,4.559803
