theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,theta11,theta12
1.5298898,-2.535511,-2.0271785,-1.233122,-0.14909303,-7.1469502,-1.7866795,-0.09965676,0.29669815,1.9507153,-2.1187632,3.6456268
1.5469775,-2.6970284,-3.26423,0.51982707,-1.7652593,-2.0211527,-1.7653149,-0.0811576,0.1353576,2.495503,-2.0194774,4.6200624
1.6512591,-2.5881948,-2.8602607,-0.22133823,0.961514,-7.261252,-1.7828677,-0.11455579,0.42952964,1.3413041,1.1957163,3.6533504
1.5427686,-2.6885304,-2.9298205,0.9067552,-0.13008799,-3.2686973,-1.7699908,-0.10594627,-0.07426015,2.2154572,1.8321879,3.8519993
1.5790583,-2.653119,-3.496618,-1.7506884,1.5699745,-4.9252653,-1.7799637,-0.09637515,-0.7625116,1.917594,1.6003492,4.2604733
1.7377691,-2.4388936,-3.3249865,-1.4287812,1.7302858,-1.9206796,-1.7911752,-0.120704,-0.59737283,1.5018661,3.381003,3.3231478
1.5960903,-2.2526488,-2.99441,-1.5938816,1.6958455,-8.853085,-1.7827257,-0.11979736,0.2117582,0.8736159,2.150187,2.517013
1.6474394,-2.456819,-2.6855369,-1.3649949,-1.13969,-4.8979044,-1.7818681,-0.070988715,0.13409624,1.6474309,-2.0106468,4.194485
1.6242706,-2.7500784,-2.9982448,0.11600244,1.1496474,-2.678659,-1.7779818,-0.09666805,0.030517744,1.8957801,2.2112696,4.6805043
1.6620061,-2.4434397,-3.1614368,-2.2185006,-0.17740588,-10.498559,-1.7770537,-0.11658591,0.059161104,1.7649994,0.9717136,3.5801032
1.5880499,-2.5663183,-3.1516974,-2.293093,0.4286159,-3.9481547,-1.7846867,-0.11127432,0.28665277,1.4934182,1.983675,5.2276883
1.9789627,-2.1684778,-3.00742,-1.9416201,1.4435285,-3.7848105,-1.7835796,-0.08314148,-1.4933233,1.2484541,-3.2607753,4.0350995
1.6765754,-2.6581166,-3.3053927,-2.0574,0.09900388,3.3973475,-1.7627493,-0.104263686,0.46026862,2.1055372,4.195033,7.7001824
1.635769,-2.5363514,-4.2898207,1.0697567,-1.7430106,-8.945441,-1.7717657,-0.10661812,0.26172253,1.8370814,0.755625,3.6601818
1.6824172,-2.5537302,-2.453924,0.37372237,-0.11348552,-4.2131305,-1.792162,-0.094767444,-1.2609019,1.5998753,-1.4569085,3.39148
1.5193685,-2.7263155,-3.2282987,0.31359556,-1.5460947,-3.1735325,-1.7837385,-0.11204122,0.06081659,1.8709393,-0.9762284,4.533324
1.7019168,-2.5215101,-2.7636504,-1.7334859,1.0407864,-2.8780682,-1.7750022,-0.11162721,0.23430952,1.7459385,0.60737306,4.8458095
1.5720072,-2.5437398,-2.9902303,0.16407928,0.073611595,-3.3496423,-1.7668146,-0.09276916,-0.1968581,2.0064921,2.6846645,3.784024
1.675336,-2.713341,-2.8033156,-0.77818805,0.9528945,-2.6394985,-1.7629609,-0.11468682,0.49849617,1.7245436,2.0756593,4.5539556
1.7195331,-2.6370153,-3.220439,-0.46526554,-1.0916065,-2.9458466,-1.77532,-0.09596043,-0.22369786,2.1482599,-10.732807,3.5456228
1.6314182,-2.626924,-2.905718,-0.5709028,-2.312205,-5.0255833,-1.7676104,-0.10609675,0.45864528,1.8553491,-2.4390397,4.834361
1.6248351,-2.6415372,-2.7048473,-0.9791947,0.24508698,-1.7256979,-1.7908744,-0.09988827,0.29779264,1.4851239,3.5078638,4.209871
1.6296355,-2.5356612,-2.5314393,-1.6115141,0.41193107,-3.8702478,-1.7639785,-0.10172794,0.19831336,1.519673,1.1749009,4.7571673
1.6285344,-2.7388272,-0.8769508,0.062772356,1.0063651,-4.6714196,-1.7622238,-0.12425345,0.07867258,1.5215563,1.1481202,3.7402508
1.6904644,-2.6833777,-3.8684633,1.5837922,-1.7026178,0.7062242,-1.7865644,-0.098769255,0.37271455,1.9402094,-4.913874,5.005512
