theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,theta11,theta12
1.745943,-2.5073428,-2.9314783,-0.76498693,2.3022416,-2.69471,-1.7871139,-0.079419576,0.23166321,1.7809694,2.9989498,4.802419
1.7162429,-2.5352924,-2.9352121,-0.795981,2.1256788,0.98949194,-1.7795634,-0.089514375,0.23726802,1.7859306,2.7990367,5.1663723
1.7237935,-2.5214107,-2.932997,-0.7602181,2.099103,1.8309479,-1.7721759,-0.087637685,0.22120489,1.622579,2.9385116,5.6401715
1.7414054,-2.5160997,-2.9243493,-0.7743959,2.0340862,-2.28262,-1.7889636,-0.08738606,0.2585964,1.7027255,2.8835735,4.7696896
1.7210717,-2.5370457,-2.8876977,-0.98207897,2.3284714,-1.4783356,-1.7803725,-0.08681965,0.21628918,1.4944919,3.0611129,4.8137355
1.7188468,-2.5089443,-2.950274,-0.7592914,2.214508,-0.5743656,-1.7806938,-0.081865095,0.21587671,1.5679878,2.9116762,4.835328
1.7207645,-2.5013998,-2.9080343,-0.76453936,2.0730767,-1.6824833,-1.7801296,-0.09004585,0.23472106,1.7738392,2.8680356,4.802017
1.6972548,-2.5248125,-2.928174,-0.7704457,2.007165,-1.4244971,-1.7797806,-0.07719909,0.2540466,1.6928954,2.9175432,4.796995
1.7571771,-2.495371,-2.9172566,-0.7793532,2.168058,-3.876784,-1.7699368,-0.07941581,0.26798096,1.7065092,3.0054953,4.762868
1.7222345,-2.5221336,-2.8866339,-0.70589507,2.2617922,1.560265,-1.789649,-0.08089508,0.27642047,1.5246221,2.9962716,5.5838084
1.7332436,-2.51915,-2.8968942,-0.42713106,2.2124515,1.7038083,-1.7882203,-0.08159405,0.28515443,1.3471532,3.0490303,6.185191
1.7202424,-2.5292945,-2.9247563,-0.760681,2.1564653,-0.33945444,-1.7742763,-0.09230327,0.23909089,1.7642279,2.8375268,4.8945336
1.7242048,-2.5230565,-2.9150946,-0.74434894,2.0589974,-0.8878135,-1.767653,-0.08727885,0.26636234,1.6590574,2.7425237,4.805799
1.7250208,-2.5024037,-2.9158444,-0.74204475,2.1855574,-2.5342052,-1.773527,-0.09551051,0.20900276,1.618162,2.9438128,4.8345017
1.7293746,-2.5250292,-2.9207635,-0.77896464,1.9333191,2.0718489,-1.7950091,-0.09666142,0.2652486,1.6863381,2.7114398,5.699524
1.7569596,-2.4968705,-2.9051554,-0.7580899,2.174924,-2.7272716,-1.7866694,-0.08107578,0.2721447,1.5679575,2.9541998,4.7959228
1.7165494,-2.5235946,-2.8750863,-0.6506958,2.3339343,1.6982231,-1.782353,-0.07026897,0.26687828,1.5154781,3.0690668,5.631902
1.6978148,-2.5329542,-2.888087,-0.7212925,1.9866688,-1.010837,-1.7750754,-0.08485373,0.22578704,1.5712359,2.8988044,4.4473143
1.7294,-2.5154994,-2.9239256,-0.7745126,2.287806,-2.454553,-1.7821733,-0.07592718,0.25095123,1.7103347,3.1510627,4.765099
