parameter,coverage_95,coverage_90,mean_rank,sd_rank
theta1,0.9697986577181208,0.9563758389261745,0.4687046979865773,0.23170989740429765
theta2,0.9630872483221476,0.9295302013422819,0.5388389261744962,0.23691212844757087
theta3,0.9295302013422819,0.8859060402684564,0.5038926174496644,0.275291465820413
theta4,0.959731543624161,0.9161073825503355,0.5074026845637587,0.27699765994851683
theta5,0.9664429530201343,0.9362416107382551,0.5025167785234894,0.2765021840278524
theta6,0.9463087248322147,0.9228187919463087,0.5200906040268456,0.25101663461076246
theta7,0.9899328859060402,0.9697986577181208,0.6988288590604025,0.18885860155661358
theta8,0.9765100671140939,0.9630872483221476,0.409744966442953,0.20806141498977954
theta9,0.9496644295302014,0.9060402684563759,0.48328523489932895,0.263238483466922
theta10,0.9697986577181208,0.9429530201342282,0.536221476510067,0.27382584838443863
theta11,0.9630872483221476,0.9328859060402684,0.4993355704697987,0.2772834934045073
theta12,0.9731543624161074,0.9463087248322147,0.5129060402684563,0.26052514962605094
