parameter,coverage_95,coverage_90,mean_rank,sd_rank
theta1,0.97,0.95,0.5030966666666671,0.2602160653294788
theta2,0.9566666666666667,0.9133333333333333,0.46636333333333313,0.265711707160641
theta3,0.9533333333333334,0.9133333333333333,0.4598666666666668,0.2546237529288177
theta4,0.9333333333333333,0.9,0.5370666666666669,0.28415880927553333
theta5,0.9666666666666667,0.95,0.46184666666666646,0.23768628446383308
theta6,0.9566666666666667,0.92,0.5299599999999999,0.2802252874623084
theta7,0.9733333333333334,0.9433333333333334,0.33286,0.22752665865783722
theta8,0.9666666666666667,0.96,0.5152699999999999,0.23250967814982101
theta9,0.97,0.9366666666666666,0.561423333333333,0.25387541062935226
theta10,0.9666666666666667,0.9333333333333333,0.47079333333333306,0.24482115367935203
theta11,0.97,0.9433333333333334,0.48055000000000025,0.25618726386506147
theta12,0.97,0.9366666666666666,0.5034599999999995,0.27058130336986214
