parameter,rhat,ess_bulk,ess_tail,n_divergences,mean_accept_prob,mean_tree_depth
theta1,1.0002076498497985,6612.704993315349,3335.5085776936075,0,0.9262390716112398,3.812179028982049
theta2,1.0014376588601164,6655.736220135465,3458.961374317603,0,0.9262390716112398,3.812179028982049
theta3,1.0013707547923267,6138.259537532427,3416.3890721048956,0,0.9262390716112398,3.812179028982049
theta4,1.0055428655342245,7195.847468770095,2902.3751318421096,0,0.9262390716112398,3.812179028982049
theta5,1.0004676470912188,5436.732981961179,3059.0374129471766,0,0.9262390716112398,3.812179028982049
theta6,1.0014263286108553,6151.499278903624,2815.2337262124047,0,0.9262390716112398,3.812179028982049
theta7,1.0024184425019944,5762.187024808813,3269.185572211719,0,0.9262390716112398,3.812179028982049
theta8,1.0016006511225315,4216.856870425208,3287.6575618895145,0,0.9262390716112398,3.812179028982049
theta9,1.0039677807377905,5108.826373143987,3013.073047776062,0,0.9262390716112398,3.812179028982049
theta10,0.9995316244184884,5517.79395662102,3358.111591335809,0,0.9262390716112398,3.812179028982049
theta11,1.001421313929641,4483.8011336074105,3145.0082409073116,0,0.9262390716112398,3.812179028982049
theta12,1.0019878190460798,7819.33893523241,3121.6824206457927,0,0.9262390716112398,3.812179028982049
