parameter,mean,median,sd,q025,q975
theta1,1.8214654053210328,1.8246098803145832,0.15047214346655657,1.5155078877275903,2.10876028876532
theta2,-2.4565278874676113,-2.4568875398798258,0.045741060093003015,-2.54361486854329,-2.3657744133194623
theta3,-2.8363587187943784,-2.8345836812749963,0.05376381899468642,-2.9434435734111224,-2.735233280162741
theta4,-0.5819389909684701,-0.5809966602440291,0.04093666326737474,-0.6632661349524543,-0.5018418328580163
theta5,2.2244206844693934,2.2258702150172223,0.09092823571979446,2.0409608136681956,2.3920653301249284
theta6,-1.3787895769199845,-1.3775639236504507,0.3544396937936319,-2.0777722367077405,-0.6676156332543169
theta7,-1.7946009362888231,-1.7969982505516757,0.09821084604102853,-1.9831161467576999,-1.6024018949255978
theta8,-0.06042397379482016,-0.05969729636342763,0.10083382905232904,-0.25725045772233207,0.13255982922278942
theta9,0.18823181761227306,0.1900676257977225,0.1980818381594348,-0.1978815382651447,0.5656775948195302
theta10,1.6502165416970624,1.6518431619474425,0.1688687862158629,1.3175092209194543,1.9823043013857387
theta11,2.7726924311144456,2.7692904538903056,0.1998783718476024,2.382639988782561,3.1765436668032443
theta12,4.7001678460072815,4.706728755630838,0.20450738947556374,4.285353309727401,5.081878523467086
