strategy,strategy_class,pD,pJ1,pJ2,pJ3,pX
1,0,0,0,0,0,0
2,2,0,1,1,1,0
3,2,0,0,1,1,0
4,2,0,0,0,1,0
5,3,0.01,0,0,0,0
6,3,0.02,0,0,0,0
7,3,0.03,0,0,0,0
8,3,0.04,0,0,0,0
9,3,0.05,0,0,0,0
10,3,0.06,0,0,0,0
11,3,0.07,0,0,0,0
12,3,0.08,0,0,0,0
13,3,0.09,0,0,0,0
14,3,0.1,0,0,0,0
15,3,0.11,0,0,0,0
16,3,0.12,0,0,0,0
17,3,0.13,0,0,0,0
18,3,0.14,0,0,0,0
19,3,0.15,0,0,0,0
20,4,0,0,0,0,0.01
21,4,0,0,0,0,0.02
22,4,0,0,0,0,0.03
23,4,0,0,0,0,0.04
24,4,0,0,0,0,0.05
25,4,0,0,0,0,0.06
26,4,0,0,0,0,0.07
27,4,0,0,0,0,0.08
28,4,0,0,0,0,0.09
29,4,0,0,0,0,0.1
30,4,0,0,0,0,0.11
31,4,0,0,0,0,0.12
32,4,0,0,0,0,0.13
33,4,0,0,0,0,0.14
34,4,0,0,0,0,0.15
35,5,0.12,1,1,1,0.1
36,5,0.12,1,1,1,0.11
37,5,0.12,1,1,1,0.12
38,5,0.12,1,1,1,0.13
